Accuracy,Precision,Depth,Min_Samples_Split,Min_Samples_Leaf,Test_Size
0.6666666666666666,0.7294871794871796,1.0,3.0,2.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,2.0,0.25
0.74,0.781875,1.0,3.0,2.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,2.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,2.0,0.4
0.72,0.7205194805194806,1.0,3.0,2.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,2.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,3.0,0.1
0.64,0.6653846153846154,1.0,3.0,3.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,3.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,3.0,0.25
0.74,0.781875,1.0,3.0,3.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,3.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,3.0,0.4
0.72,0.7205194805194806,1.0,3.0,3.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,3.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,4.0,0.1
0.64,0.6653846153846154,1.0,3.0,4.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,4.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,4.0,0.25
0.74,0.781875,1.0,3.0,4.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,4.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,4.0,0.4
0.72,0.7205194805194806,1.0,3.0,4.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,4.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,5.0,0.1
0.64,0.6653846153846154,1.0,3.0,5.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,5.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,5.0,0.25
0.74,0.781875,1.0,3.0,5.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,5.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,5.0,0.4
0.72,0.7205194805194806,1.0,3.0,5.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,5.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,6.0,0.1
0.64,0.6653846153846154,1.0,3.0,6.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,6.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,6.0,0.25
0.74,0.781875,1.0,3.0,6.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,6.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,6.0,0.4
0.72,0.7205194805194806,1.0,3.0,6.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,6.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,7.0,0.1
0.64,0.6653846153846154,1.0,3.0,7.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,7.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,7.0,0.25
0.74,0.781875,1.0,3.0,7.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,7.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,7.0,0.4
0.72,0.7205194805194806,1.0,3.0,7.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,7.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,8.0,0.1
0.64,0.6653846153846154,1.0,3.0,8.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,8.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,8.0,0.25
0.74,0.781875,1.0,3.0,8.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,8.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,8.0,0.4
0.72,0.7205194805194806,1.0,3.0,8.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,8.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,9.0,0.1
0.64,0.6653846153846154,1.0,3.0,9.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,9.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,9.0,0.25
0.74,0.781875,1.0,3.0,9.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,9.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,9.0,0.4
0.72,0.7205194805194806,1.0,3.0,9.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,9.0,0.5
0.7058823529411765,0.7512605042016807,1.0,3.0,10.0,0.1
0.64,0.6653846153846154,1.0,3.0,10.0,0.15
0.6666666666666666,0.7294871794871796,1.0,3.0,10.0,0.2
0.7142857142857143,0.7637362637362638,1.0,3.0,10.0,0.25
0.74,0.781875,1.0,3.0,10.0,0.3
0.7241379310344828,0.7450365726227794,1.0,3.0,10.0,0.35
0.7272727272727273,0.7306616961789375,1.0,3.0,10.0,0.4
0.72,0.7205194805194806,1.0,3.0,10.0,0.45
0.6024096385542169,0.72242121639712,1.0,3.0,10.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,1.0,0.1
0.64,0.6653846153846154,1.0,4.0,1.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,1.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,1.0,0.25
0.74,0.781875,1.0,4.0,1.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,1.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,1.0,0.4
0.72,0.7205194805194806,1.0,4.0,1.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,1.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,2.0,0.1
0.64,0.6653846153846154,1.0,4.0,2.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,2.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,2.0,0.25
0.74,0.781875,1.0,4.0,2.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,2.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,2.0,0.4
0.72,0.7205194805194806,1.0,4.0,2.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,2.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,3.0,0.1
0.64,0.6653846153846154,1.0,4.0,3.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,3.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,3.0,0.25
0.74,0.781875,1.0,4.0,3.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,3.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,3.0,0.4
0.72,0.7205194805194806,1.0,4.0,3.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,3.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,4.0,0.1
0.64,0.6653846153846154,1.0,4.0,4.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,4.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,4.0,0.25
0.74,0.781875,1.0,4.0,4.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,4.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,4.0,0.4
0.72,0.7205194805194806,1.0,4.0,4.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,4.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,5.0,0.1
0.64,0.6653846153846154,1.0,4.0,5.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,5.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,5.0,0.25
0.74,0.781875,1.0,4.0,5.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,5.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,5.0,0.4
0.72,0.7205194805194806,1.0,4.0,5.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,5.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,6.0,0.1
0.64,0.6653846153846154,1.0,4.0,6.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,6.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,6.0,0.25
0.74,0.781875,1.0,4.0,6.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,6.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,6.0,0.4
0.72,0.7205194805194806,1.0,4.0,6.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,6.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,7.0,0.1
0.64,0.6653846153846154,1.0,4.0,7.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,7.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,7.0,0.25
0.74,0.781875,1.0,4.0,7.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,7.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,7.0,0.4
0.72,0.7205194805194806,1.0,4.0,7.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,7.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,8.0,0.1
0.64,0.6653846153846154,1.0,4.0,8.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,8.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,8.0,0.25
0.74,0.781875,1.0,4.0,8.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,8.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,8.0,0.4
0.72,0.7205194805194806,1.0,4.0,8.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,8.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,9.0,0.1
0.64,0.6653846153846154,1.0,4.0,9.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,9.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,9.0,0.25
0.74,0.781875,1.0,4.0,9.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,9.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,9.0,0.4
0.72,0.7205194805194806,1.0,4.0,9.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,9.0,0.5
0.7058823529411765,0.7512605042016807,1.0,4.0,10.0,0.1
0.64,0.6653846153846154,1.0,4.0,10.0,0.15
0.6666666666666666,0.7294871794871796,1.0,4.0,10.0,0.2
0.7142857142857143,0.7637362637362638,1.0,4.0,10.0,0.25
0.74,0.781875,1.0,4.0,10.0,0.3
0.7241379310344828,0.7450365726227794,1.0,4.0,10.0,0.35
0.7272727272727273,0.7306616961789375,1.0,4.0,10.0,0.4
0.72,0.7205194805194806,1.0,4.0,10.0,0.45
0.6024096385542169,0.72242121639712,1.0,4.0,10.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,1.0,0.1
0.64,0.6653846153846154,1.0,5.0,1.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,1.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,1.0,0.25
0.74,0.781875,1.0,5.0,1.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,1.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,1.0,0.4
0.72,0.7205194805194806,1.0,5.0,1.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,1.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,2.0,0.1
0.64,0.6653846153846154,1.0,5.0,2.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,2.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,2.0,0.25
0.74,0.781875,1.0,5.0,2.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,2.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,2.0,0.4
0.72,0.7205194805194806,1.0,5.0,2.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,2.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,3.0,0.1
0.64,0.6653846153846154,1.0,5.0,3.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,3.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,3.0,0.25
0.74,0.781875,1.0,5.0,3.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,3.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,3.0,0.4
0.72,0.7205194805194806,1.0,5.0,3.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,3.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,4.0,0.1
0.64,0.6653846153846154,1.0,5.0,4.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,4.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,4.0,0.25
0.74,0.781875,1.0,5.0,4.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,4.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,4.0,0.4
0.72,0.7205194805194806,1.0,5.0,4.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,4.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,5.0,0.1
0.64,0.6653846153846154,1.0,5.0,5.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,5.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,5.0,0.25
0.74,0.781875,1.0,5.0,5.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,5.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,5.0,0.4
0.72,0.7205194805194806,1.0,5.0,5.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,5.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,6.0,0.1
0.64,0.6653846153846154,1.0,5.0,6.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,6.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,6.0,0.25
0.74,0.781875,1.0,5.0,6.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,6.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,6.0,0.4
0.72,0.7205194805194806,1.0,5.0,6.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,6.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,7.0,0.1
0.64,0.6653846153846154,1.0,5.0,7.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,7.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,7.0,0.25
0.74,0.781875,1.0,5.0,7.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,7.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,7.0,0.4
0.72,0.7205194805194806,1.0,5.0,7.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,7.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,8.0,0.1
0.64,0.6653846153846154,1.0,5.0,8.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,8.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,8.0,0.25
0.74,0.781875,1.0,5.0,8.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,8.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,8.0,0.4
0.72,0.7205194805194806,1.0,5.0,8.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,8.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,9.0,0.1
0.64,0.6653846153846154,1.0,5.0,9.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,9.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,9.0,0.25
0.74,0.781875,1.0,5.0,9.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,9.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,9.0,0.4
0.72,0.7205194805194806,1.0,5.0,9.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,9.0,0.5
0.7058823529411765,0.7512605042016807,1.0,5.0,10.0,0.1
0.64,0.6653846153846154,1.0,5.0,10.0,0.15
0.6666666666666666,0.7294871794871796,1.0,5.0,10.0,0.2
0.7142857142857143,0.7637362637362638,1.0,5.0,10.0,0.25
0.74,0.781875,1.0,5.0,10.0,0.3
0.7241379310344828,0.7450365726227794,1.0,5.0,10.0,0.35
0.7272727272727273,0.7306616961789375,1.0,5.0,10.0,0.4
0.72,0.7205194805194806,1.0,5.0,10.0,0.45
0.6024096385542169,0.72242121639712,1.0,5.0,10.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,1.0,0.1
0.64,0.6653846153846154,1.0,6.0,1.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,1.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,1.0,0.25
0.74,0.781875,1.0,6.0,1.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,1.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,1.0,0.4
0.72,0.7205194805194806,1.0,6.0,1.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,1.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,2.0,0.1
0.64,0.6653846153846154,1.0,6.0,2.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,2.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,2.0,0.25
0.74,0.781875,1.0,6.0,2.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,2.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,2.0,0.4
0.72,0.7205194805194806,1.0,6.0,2.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,2.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,3.0,0.1
0.64,0.6653846153846154,1.0,6.0,3.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,3.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,3.0,0.25
0.74,0.781875,1.0,6.0,3.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,3.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,3.0,0.4
0.72,0.7205194805194806,1.0,6.0,3.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,3.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,4.0,0.1
0.64,0.6653846153846154,1.0,6.0,4.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,4.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,4.0,0.25
0.74,0.781875,1.0,6.0,4.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,4.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,4.0,0.4
0.72,0.7205194805194806,1.0,6.0,4.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,4.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,5.0,0.1
0.64,0.6653846153846154,1.0,6.0,5.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,5.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,5.0,0.25
0.74,0.781875,1.0,6.0,5.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,5.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,5.0,0.4
0.72,0.7205194805194806,1.0,6.0,5.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,5.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,6.0,0.1
0.64,0.6653846153846154,1.0,6.0,6.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,6.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,6.0,0.25
0.74,0.781875,1.0,6.0,6.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,6.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,6.0,0.4
0.72,0.7205194805194806,1.0,6.0,6.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,6.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,7.0,0.1
0.64,0.6653846153846154,1.0,6.0,7.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,7.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,7.0,0.25
0.74,0.781875,1.0,6.0,7.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,7.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,7.0,0.4
0.72,0.7205194805194806,1.0,6.0,7.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,7.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,8.0,0.1
0.64,0.6653846153846154,1.0,6.0,8.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,8.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,8.0,0.25
0.74,0.781875,1.0,6.0,8.0,0.3
0.7241379310344828,0.7450365726227794,1.0,6.0,8.0,0.35
0.7272727272727273,0.7306616961789375,1.0,6.0,8.0,0.4
0.72,0.7205194805194806,1.0,6.0,8.0,0.45
0.6024096385542169,0.72242121639712,1.0,6.0,8.0,0.5
0.7058823529411765,0.7512605042016807,1.0,6.0,9.0,0.1
0.64,0.6653846153846154,1.0,6.0,9.0,0.15
0.6666666666666666,0.7294871794871796,1.0,6.0,9.0,0.2
0.7142857142857143,0.7637362637362638,1.0,6.0,9.0,0.25
0.74,0.781875,1.0,6.0,9.0,0.3
